0267894574 | C005 | Luat Kinh Te | You have been assigned to a new course
0234758957 | C006 | Database Systems | You have been assigned to a new course
0278912345 | C007 | Web Programming | You have been assigned to a new course
0244556677 | C008 | Computer Networks | You have been assigned to a new course
0267891234 | C009 | Object Oriented Programming | You have been assigned to a new course
0214342456 | C010 | Cyber Security | You have been assigned to a new course
0245879035 | C011 | Supply Chain Management | You have been assigned to a new course
0255667788 | C012 | Logistics Management | You have been assigned to a new course
0289123456 | C013 | Warehouse Management | You have been assigned to a new course
0256789123 | C014 | Transportation Management | You have been assigned to a new course
0245879035 | C015 | International Logistics | You have been assigned to a new course
0233445566 | C016 | Triet Hoc Mac Lenin | You have been assigned to a new course
0267894574 | C017 | Kinh Te Chinh Tri | You have been assigned to a new course
0266778899 | C018 | Phap Luat Dai Cuong | You have been assigned to a new course
0233445566 | C019 | Xac Suat Thong Ke | You have been assigned to a new course
0267894574 | C020 | Toan Cao Cap | You have been assigned to a new course
0212345677 | C019 | Xac Suat Thong Ke | You have been assigned to a new course
0212345677 | C018 | Phap Luat Dai Cuong | You have been assigned to a new course
0267891234 | C005 | Luat Kinh Te | You have been assigned to a new course
0256789123 | C006 | Database Systems | You have been assigned to a new course
0212345666 | C016 | Triet Hoc Mac Lenin | You have been assigned to a new course
0212345666 | C015 | International Logistics | You have been assigned to a new course
0212345688 | C014 | Transportation Management | You have been assigned to a new course
0212345688 | C013 | Warehouse Management | You have been assigned to a new course
02123456799 | C012 | Logistics Management | You have been assigned to a new course
02123456799 | C011 | Supply Chain Management | You have been assigned to a new course
0212345699 | C010 | Cyber Security | You have been assigned to a new course
0212345699 | C009 | Object Oriented Programming | You have been assigned to a new course
0289123456 | C008 | Computer Networks | You have been assigned to a new course
0289123456 | C007 | Web Programming | You have been assigned to a new course
